Sr No.,ISO3,Country,Continent,Hemisphere,1990,1995,2000,2005,2010,2013,2018,Total CO2 Emissions
154,SDN,Sudan,Africa,Northern Hemisphere,3.83,3.9,4.38,4.57,4.27,,2.62,23.57
155,SUR,Suriname,America,Northern Hemisphere,7.27,7.75,5.67,5.63,5.9,6.18,6.57,44.97
156,SWE,Sweden,Europe,Northern Hemisphere,7.9,8.18,7.53,7.0,6.25,5.29,4.56,46.71
157,CHE,Switzerland,Europe,Northern Hemisphere,7.77,7.33,7.16,7.21,6.77,6.34,5.41,47.989999999999995
158,SYR,Syria,Asia,Northern Hemisphere,4.35,4.64,4.46,4.87,4.31,3.32,2.74,28.689999999999998
159,TJK,Tajikistan,Asia,Northern Hemisphere,6.556168831168831,1.28,0.98,1.04,1.1,1.25,1.67,13.87616883116883
160,TZA,Tanzania,Africa,Southern Hemisphere,1.64,1.56,1.39,1.55,1.46,1.54,1.87,11.010000000000002
161,THA,Thailand,Asia,Northern Hemisphere,2.69,3.8,3.85,4.67,5.1,5.42,6.01,31.54
162,TGO,Togo,Africa,Northern Hemisphere,0.93,0.75,0.94,0.97,1.01,0.93,1.07,6.6
163,TON,Tonga,Australia,Southern Hemisphere,2.4,2.56,2.62,2.85,3.07,3.92,3.36,20.78
164,TTO,Trinidad and Tobago,America,Northern Hemisphere,12.31,11.22,12.42,16.4,19.11,19.15,16.48,107.09000000000002
165,TUN,Tunisia,Africa,Northern Hemisphere,2.36,2.52,2.89,3.04,3.36,3.24,3.55,20.959999999999997
166,TUR,Turkey,Asia,Northern Hemisphere,3.71,4.18,4.8,4.66,5.18,5.39,6.1,34.02
167,TKM,Turkmenistan,Asia,Northern Hemisphere,6.556168831168831,13.39,14.51,18.13,19.44,20.93,21.38,114.33616883116883
168,UGA,Uganda,Africa,Northern Hemisphere,0.82,0.78,0.73,0.8,0.92,0.89,1.28,6.22
169,UKR,Ukraine,Europe,Northern Hemisphere,6.556168831168831,10.41,8.25,8.54,8.13,8.33,6.15,56.36616883116883
170,ARE,United Arab Emirates,Asia,Northern Hemisphere,40.13,38.81,34.89,32.13,23.73,24.59,27.33,221.61
171,GBR,United Kingdom,Europe,Northern Hemisphere,12.9,11.63,11.0,10.53,9.03,8.45,6.8,70.34
172,USA,United States,America,Northern Hemisphere,23.23,23.26,23.86,22.92,20.97,19.9,18.44,152.57999999999998
173,URY,Uruguay,America,Southern Hemisphere,8.38,9.15,8.83,9.6,9.71,9.98,10.48,66.13000000000001
174,UZB,Uzbekistan,Asia,Northern Hemisphere,6.556168831168831,7.9,8.4,7.85,7.55,7.52,7.15,52.92616883116883
175,VUT,Vanuatu,Australia,Southern Hemisphere,3.04,3.07,2.85,2.5,2.79,2.66,2.96,19.87
176,VEN,Venezuela,America,Northern Hemisphere,8.62,8.73,8.7,8.85,9.08,8.85,8.1,60.93
177,VNM,Vietnam,Asia,Northern Hemisphere,1.03,1.25,1.63,2.16,2.8,2.81,3.94,15.620000000000001
178,YEM,Yemen,Asia,Northern Hemisphere,0.99,1.0,1.15,1.33,1.41,1.39,0.76,8.03
179,ZMB,Zambia,Africa,Southern Hemisphere,5.18,4.2,3.36,3.58,3.31,3.31,2.34,25.279999999999998
180,ZWE,Zimbabwe,Africa,Southern Hemisphere,3.25,2.62,2.47,1.93,1.81,1.82,2.17,16.07
